id_cliente,indice,subtotal
37884,22,8961.62
37884,22,9570.88
37884,22,8762.93
37884,22,21255.2
37884,22,6226.25
37884,22,6226.25
30,22,21100
30,22,21100
103,22,19620
103,22,19620
103,22,19620
103,22,19250
103,22,19620
460,22,12769.35
37867,22,8040.66
37867,22,19970.92
37867,22,19970.92
460,22,19383
460,22,4110.9
460,22,3405.87
460,22,6682.88
460,22,6682.88
460,22,6682.88
460,22,12769.35
850,22,12309
850,22,24229
850,22,26729
850,22,5247
850,22,3538
850,22,6713
850,22,6113
850,22,5647
850,22,5247
850,22,5798
850,22,3538
850,22,3538
850,22,6259
850,22,28032
850,22,28032
850,22,28031.64
850,22,15107
850,22,30598.5
37853,22,5134.41
37853,22,5134.41
37853,22,7879.9
37853,22,5134.41
37853,22,5134.41
37969,22,2814.6
37969,22,2592
740,22,4008.07
460,22,4064.85
980,22,16119
37884,22,14431.19
37884,22,4871.83
37884,22,8619.55
37884,22,6226.25
37884,22,6226.25
37884,22,8704.79
460,22,2864.85
460,22,5114.85
740,22,12511.48
740,22,12511.48
740,22,12511.48
30,23,21100
30,23,20013
37867,23,8040.66
37867,23,19970.92
850,23,15649
740,23,5412.07
740,23,4008.07
460,23,19383
460,23,20661
3450,23,27200
37653,23,3360
740,23,14100.68
37700,23,12789.7
1800,23,11753.72
3800,23,12846.88
37867,23,8040.66
37700,23,12789.7
460,23,4110.9
460,23,4110.9
460,23,3405.87
460,23,3405.87
37953,23,5000
37953,23,5000
37953,23,5000
1360,23,4568.61
1360,23,8317.82
740,23,14100.68
3450,23,19000
37884,23,6226.25
37884,23,6226.25
37884,23,14431.19
37884,23,21255.2
37884,23,6553.35
460,23,29968.72
